station,line_names,division,borough,subregion,Long,Lat
1 AV,L,BMT,Manhattan,14 to 42,-73.9816808748912,40.7309749758006
1 AVE,L,BMT,Manhattan,14 to 42,-73.9816808748912,40.7309749758006
103 ST,1,IRT,Manhattan,60 to 110,-73.9683789996081,40.7994460003348
103 ST,6,IRT,Manhattan,60 to 110,-73.9474780015221,40.7906000000845
103 ST,BC,IND,Manhattan,60 to 110,-73.9613700826761,40.7960607399045
103 ST-CORONA,7,IRT,Queens,,,
104 ST,A,IND,Queens,,,
104 ST,JZ,BMT,Queens,,,
110 ST,6,IRT,Manhattan,110 and above,-73.9442499968716,40.7950200001131
110 ST-CATHEDRL,1,IRT,Manhattan,110 and above,-73.9668470005456,40.8039669996148
110 ST-CPN,23,IRT,Manhattan,110 and above,-73.9518220017691,40.7990749997732
111 ST,7,IRT,Queens,,,
111 ST,A,IND,Queens,,,
111 ST,J,BMT,Queens,,,
116 ST,23,IRT,Manhattan,110 and above,-73.9496250009690,40.8020979991330
116 ST,6,IRT,Manhattan,110 and above,-73.9416169983714,40.7986290002001
116 ST,BC,IND,Manhattan,110 and above,-73.9547977805731,40.8050581334421
116 ST-COLUMBIA,1,IRT,Manhattan,110 and above,-73.9641099975775,40.8077220012308
121 ST,JZ,BMT,Queens,,,
125 ST,1,IRT,Manhattan,110 and above,-73.9583720009704,40.8155809999789
125 ST,23,IRT,Manhattan,110 and above,-73.9454950001141,40.8077539991828
125 ST,456,IRT,Manhattan,110 and above,-73.9375940005572,40.8041380005872
125 ST,ACBD,IND,Manhattan,110 and above,-73.9522479973477,40.8110716729945
135 ST,23,IRT,Manhattan,110 and above,-73.9407700010670,40.8142290003391
135 ST,BC,IND,Manhattan,110 and above,-73.9475348087921,40.8179055592126
137 ST CITY COL,1,IRT,Manhattan,110 and above,-73.9536760008787,40.8220079996847
137 ST-CITY COL,1,IRT,Manhattan,110 and above,-73.9536760008787,40.8220079996847
138 ST-3 AVE,6,IRT,Bronx,,,
138 ST-GR CONC,45,IRT,Bronx,,,
138/GRAND CONC,45,IRT,Bronx,,,
14 ST,123FLM,IRT,Manhattan,14 to 42,-74.0002010006349,40.7378259997281
14 ST,ACEL,IND,Manhattan,14 to 42,-74.0016899993702,40.7408930001932
14 ST,FLM123,IND,Manhattan,14 to 42,-73.9962089992135,40.7382279996951
14 ST-6 AVE,FLM123,IND,Manhattan,14 to 42,-73.9967960000000,40.7373280000000
14 ST-UNION SQ,456LNQR,IRT,Manhattan,14 to 42,-73.9899509988188,40.7346730009961
14 ST-UNION SQ,456LNQRW,IRT,Manhattan,14 to 42,-73.9905388618164,40.7358722669981
14 ST-UNION SQ,LNQR456,BMT,Manhattan,14 to 42,-73.9906697690181,40.7347633121792
14 ST-UNION SQ,LNQR456W,BMT,Manhattan,14 to 42,-73.9906697690181,40.7347633121792
145 ST,1,IRT,Manhattan,110 and above,-73.9503599987971,40.8265509996219
145 ST,3,IRT,Manhattan,110 and above,-73.9362449987329,40.8204209996927
145 ST,ABCD,IND,Manhattan,110 and above,-73.9440879282311,40.8247663608719
148 ST-LENOX,3,IRT,Manhattan,110 and above,-73.9364700000555,40.8238800008045
149 ST-3 AVE,25,IRT,Bronx,,,
149 ST-GR CONC,245,IRT,Bronx,,,
149/GRAND CONC,245,IRT,Bronx,,,
14TH STREET,1,PTH,Manhattan,14 to 42,-73.9968620000000,40.7373930000000
15 ST-PROSPECT,FG,IND,Brooklyn,,,
155 ST,BD,IND,Manhattan,110 and above,-73.9382089981162,40.8301349999812
155 ST,C,IND,Manhattan,110 and above,-73.9415140008220,40.8305179992925
157 ST,1,IRT,Manhattan,110 and above,-73.9448899990104,40.8340410001399
161 ST-YANKEE,4BD,IRT,Bronx,,,
161 ST-YANKEE,BD4,IND,Bronx,,,
161/YANKEE STAD,4BD,IRT,Bronx,,,
161/YANKEE STAD,BD4,IND,Bronx,,,
163 ST-AMSTERDM,C,IND,Manhattan,110 and above,-73.9398920018834,40.8360129992309
167 ST,4,IRT,Bronx,,,
167 ST,BD,IND,Bronx,,,
168 ST,1AC,IRT,Manhattan,110 and above,-73.9401329990725,40.8405559991485
168 ST,AC1,IND,Manhattan,110 and above,-73.9395609998542,40.8407189999079
168 ST-BROADWAY,1AC,IRT,Manhattan,110 and above,-73.9401329990725,40.8405559991485
168 ST-BROADWAY,AC1,IND,Manhattan,110 and above,-73.9395609998542,40.8407189999079
169 ST,F,IND,Queens,,,
170 ST,4,IRT,Bronx,,,
170 ST,BD,IND,Bronx,,,
174 ST,25,IRT,Bronx,,,
174-175 ST,BD,IND,Bronx,,,
174-175 STS,BD,IND,Bronx,,,
175 ST,A,IND,Manhattan,110 and above,-73.9397039976159,40.8473910007240
176 ST,4,IRT,Bronx,,,
18 AV,D,BMT,Brooklyn,,,
18 AV,F,IND,Brooklyn,,,
18 AV,N,BMT,Brooklyn,,,
18 AVE,D,BMT,Brooklyn,,,
18 AVE,F,IND,Brooklyn,,,
18 AVE,N,BMT,Brooklyn,,,
18 ST,1,IRT,Manhattan,14 to 42,-73.9978710006040,40.7410399998021
181 ST,1,IRT,Manhattan,110 and above,-73.9335959996056,40.8495049997406
181 ST,A,IND,Manhattan,110 and above,-73.9379690020501,40.8516949997446
182-183 ST,BD,IND,Bronx,,,
182-183 STS,BD,IND,Bronx,,,
183 ST,4,IRT,Bronx,,,
190 ST,A,IND,Manhattan,110 and above,-73.9341799996433,40.8590219989248
191 ST,1,IRT,Manhattan,110 and above,-73.9294119974203,40.8552250017583
2 AV,F,IND,Manhattan,Canal to 14,-73.9899380000343,40.7234016657491
2 AVE,F,IND,Manhattan,Canal to 14,-73.9899380000343,40.7234016657491
20 AV,D,BMT,Brooklyn,,,
20 AV,N,BMT,Brooklyn,,,
20 AVE,D,BMT,Brooklyn,,,
20 AVE,N,BMT,Brooklyn,,,
207 ST,1,IRT,Manhattan,110 and above,-73.9188190013231,40.8646140005258
21 ST,F,IND,Queens,,,
21 ST,G,IND,Queens,,,
21 ST-QNSBRIDGE,F,IND,Queens,,,
215 ST,1,IRT,Manhattan,110 and above,-73.9152789995435,40.8694439994604
219 ST,25,IRT,Bronx,,,
22 AVE-BAY PKY,F,IND,Brooklyn,,,
225 ST,25,IRT,Bronx,,,
23 ST,1,IRT,Manhattan,14 to 42,-73.9956570016487,40.7440809998975
23 ST,6,IRT,Manhattan,14 to 42,-73.9865990020788,40.7398640004746
23 ST,CE,IND,Manhattan,14 to 42,-73.9980410011720,40.7459059993999
23 ST,FM,IND,Manhattan,14 to 42,-73.9927650047138,40.7429543178260
23 ST,NR,BMT,Manhattan,14 to 42,-73.9893440010290,40.7413026672900
23 ST,NRW,BMT,Manhattan,14 to 42,-73.9893440010290,40.7413026672900
23 ST-5 AVE,NR,BMT,Manhattan,14 to 42,-73.9893440010290,40.7413026672900
23 ST-6 AVE,FM,IND,Manhattan,14 to 42,-73.9928770000000,40.7429330000000
231 ST,1,IRT,Bronx,,,
233 ST,25,IRT,Bronx,,,
238 ST,1,IRT,Bronx,,,
242 ST,1,IRT,Bronx,,,
25 AV,D,BMT,Brooklyn,,,
25 AVE,D,BMT,Brooklyn,,,
25 ST,R,BMT,Brooklyn,,,
28 ST,1,IRT,Manhattan,14 to 42,-73.9933650013432,40.7472149991821
28 ST,6,IRT,Manhattan,14 to 42,-73.9842640011040,40.7430699992590
28 ST,NR,BMT,Manhattan,14 to 42,-73.9886980012873,40.7454539997995
28 ST,NRW,BMT,Manhattan,14 to 42,-73.9886980012873,40.7454539997995
28 ST-BROADWAY,NR,BMT,Manhattan,14 to 42,-73.9886980012873,40.7454539997995
3 AV,L,BMT,Manhattan,14 to 42,-73.9857500011209,40.7326909997166
3 AV 138 ST,6,IRT,Bronx,,,
3 AV-149 ST,25,IRT,Bronx,,,
3 AVE,L,BMT,Manhattan,14 to 42,-73.9857500011209,40.7326909997166
30 AV,NQ,BMT,Queens,,,
30 AV,NQW,BMT,Queens,,,
33 ST,6,IRT,Manhattan,14 to 42,-73.9820760014894,40.7460809990914
33 ST-RAWSON ST,7,IRT,Queens,,,
33 ST/RAWSON ST,7,IRT,Queens,,,
34 ST-HERALD SQ,BDFMNQR,BMT,Manhattan,14 to 42,-73.9877718907291,40.7497893999001
34 ST-HERALD SQ,BDFMNQR,IND,Manhattan,14 to 42,-73.9879368338264,40.7497893999001
34 ST-HERALD SQ,BDFMNQRW,BMT,Manhattan,14 to 42,-73.9879368338264,40.7496445600944
34 ST-HERALD SQ,BDFMNQRW,IND,Manhattan,14 to 42,-73.9879368338264,40.7497893999001
34 ST-HUDSON YD,7,IRT,Manhattan,14 to 42,-74.0021970944220,40.7554463596159
34 ST-PENN STA,123,IRT,Manhattan,14 to 42,-73.9910569991398,40.7503730000394
34 ST-PENN STA,123ACE,IRT,Manhattan,14 to 42,-73.9910569991398,40.7503730000394
34 ST-PENN STA,ACE,IND,Manhattan,14 to 42,-73.9933909997057,40.7522870007758
36 AV,NQ,BMT,Queens,,,
36 AV,NQW,BMT,Queens,,,
36 ST,DNR,BMT,Brooklyn,,,
36 ST,MR,IND,Queens,,,
39 AV,NQ,BMT,Queens,,,
39 AV,NQW,BMT,Queens,,,
4 AV-9 ST,DFGMNR,IND,Brooklyn,,,
4 AVE,DFGMNR,IND,Brooklyn,,,
40 ST LOWERY ST,7,IRT,Queens,,,
40 ST-LOWERY ST,7,IRT,Queens,,,
42 ST-BRYANT PK,BDFM7,IND,Manhattan,42 to 60,-73.9845909990471,40.7541840013125
42 ST-GRD CNTRL,4567S,IRT,Manhattan,42 to 60,-73.9767132992584,40.7518074298163
42 ST-PA BUS TE,ACENGRS1237,IND,Manhattan,42 to 60,-73.9897350008585,40.7573079985515
42 ST-PA BUS TE,ACENQRS1237,IND,Manhattan,42 to 60,-73.9897350008585,40.7573079985515
42 ST-PORT AUTH,ACENGRS1237,IND,Manhattan,42 to 60,-73.9870000000000,40.7560000000000
42 ST-PORT AUTH,ACENGRS1237W,IND,Manhattan,42 to 60,-73.9870000000000,40.7560000000000
42 ST-PORT AUTH,ACENQRS1237,IND,Manhattan,42 to 60,-73.9870000000000,40.7560000000000
42 ST-PORT AUTH,ACENQRS1237W,IND,Manhattan,42 to 60,-73.9870000000000,40.7560000000000
42 ST-TIMES SQ,1237ACENQRS,IRT,Manhattan,42 to 60,-73.9874950005188,40.7552899999568
42 ST-TIMES SQ,ACENQRS1237,BMT,Manhattan,42 to 60,-73.9874950005188,40.7552899999568
45 ST,R,BMT,Brooklyn,,,
46 ST,MR,IND,Queens,,,
46 ST BLISS ST,7,IRT,Queens,,,
46 ST-BLISS ST,7,IRT,Queens,,,
47-50 ST-ROCK,BDFM,IND,Manhattan,42 to 60,-73.9813760000000,40.7586030000000
47-50 STS ROCK,BDFM,IND,Manhattan,42 to 60,-73.9813760000000,40.7586030000000
49 ST,NQR,BMT,Manhattan,42 to 60,-73.9842095659109,40.7598019738706
49 ST,NQRW,BMT,Manhattan,42 to 60,-73.9842095659109,40.7598019738706
49 ST-7 AVE,NQR,BMT,Manhattan,42 to 60,-73.9842095659109,40.7598019738706
4AV-9 ST,DFGMNR,BMT,Brooklyn,,,
5 AV/53 ST,EM,IND,Manhattan,42 to 60,-73.9755600000000,40.7602800000000
5 AV/59 ST,NQR,BMT,Manhattan,42 to 60,-73.9726210000000,40.7647790000000
5 AV/59 ST,NQRW,BMT,Manhattan,42 to 60,-73.9726210000000,40.7647790000000
5 AVE,7BDFM,IRT,Manhattan,42 to 60,-73.9842000000000,40.7548000000000
5 AVE-53 ST,EM,IND,Manhattan,42 to 60,-73.9752485052734,40.7600868323132
5 AVE-59 ST,NQR,BMT,Manhattan,42 to 60,-73.9733470004704,40.7648109997552
5 AVE-BRYANT PK,7BDFM,IRT,Manhattan,42 to 60,-73.9842000000000,40.7548000000000
50 ST,1,IRT,Manhattan,42 to 60,-73.9838489998662,40.7617279996141
50 ST,CE,IND,Manhattan,42 to 60,-73.9859840002640,40.7624559992599
50 ST,D,BMT,Brooklyn,,,
51 ST,6,IRT,Manhattan,42 to 60,-73.9719200006998,40.7571069998931
52 ST,7,IRT,Queens,,,
52 ST-LINCOLN,7,IRT,Queens,,,
53 ST,R,BMT,Brooklyn,,,
55 ST,D,BMT,Brooklyn,,,
57 ST,F,IND,Manhattan,42 to 60,-73.9773680008517,40.7640850008171
57 ST-7 AV,NQR,BMT,Manhattan,42 to 60,-73.9807297337212,40.7645655250182
57 ST-7 AV,NQRW,BMT,Manhattan,42 to 60,-73.9807297337212,40.7645655250182
57 ST-7 AVE,NQR,BMT,Manhattan,42 to 60,-73.9807297337212,40.7645655250182
59 ST,456NQR,IRT,Manhattan,42 to 60,-73.9679670004732,40.7625260003045
59 ST,456NQRW,IRT,Manhattan,42 to 60,-73.9679670004732,40.7625260003045
59 ST,NQR456,BMT,Manhattan,42 to 60,-73.9673750171143,40.7627088553945
59 ST,NQR456W,BMT,Manhattan,42 to 60,-73.9673750171143,40.7627088553945
59 ST,NR,BMT,Brooklyn,,,
59 ST,NRW,BMT,Brooklyn,,,
59 ST COLUMBUS,1ABCD,IRT,Manhattan,42 to 60,-73.9819290023271,40.7682470006368
59 ST COLUMBUS,ABCD1,IND,Manhattan,42 to 60,-73.9816487230139,40.7682495317760
59 ST-COLUMBUS,1ABCD,IRT,Manhattan,42 to 60,-73.9819290023271,40.7682470006368
59 ST-COLUMBUS,ABCD1,IND,Manhattan,42 to 60,-73.9816487230139,40.7682495317760
6 AV,FLM123,BMT,Manhattan,14 to 42,-73.9977507887478,40.7377414698105
6 AVE,FLM123,BMT,Manhattan,14 to 42,-73.9977507887478,40.7377414698105
61 ST WOODSIDE,7,IRT,Queens,,,
61 ST/WOODSIDE,7,IRT,Queens,,,
63 DR-REGO PARK,MR,IND,Queens,,,
65 ST,MR,IND,Queens,,,
66 ST-LINCOLN,1,IRT,Manhattan,60 to 110,-73.9822089999578,40.7734400005203
67 AV,MR,IND,Queens,,,
67 AVE,MR,IND,Queens,,,
68ST-HUNTER CO,6,IRT,Manhattan,60 to 110,-73.9638700015804,40.7681410004967
68ST-HUNTER COL,6,IRT,Manhattan,60 to 110,-73.9638700015804,40.7681410004967
69 ST,7,IRT,Queens,,,
69 ST-FISK AVE,7,IRT,Queens,,,
7 AV,BDE,IND,Manhattan,42 to 60,-73.9816978234447,40.7629701524562
7 AV,BQ,BMT,Brooklyn,,,
7 AV,FG,IND,Brooklyn,,,
7 AV-PARK SLOPE,FG,IND,Brooklyn,,,
7 AVE,BQ,BMT,Brooklyn,,,
7 AVE-53 ST,BDE,IND,Manhattan,42 to 60,-73.9816978234447,40.7629701524562
71 ST,D,BMT,Brooklyn,,,
72 ST,123,IRT,Manhattan,60 to 110,-73.9819700015958,40.7784530006861
72 ST,BC,IND,Manhattan,60 to 110,-73.9763365752180,40.7755193972925
72 ST-2 AVE,Q,IND,Manhattan,60 to 110,-73.9583617868224,40.7688025101489
74 ST-BROADWAY,7EFMR,IRT,Queens,,,
75 AV,EF,IND,Queens,,,
75 AVE,EF,IND,Queens,,,
75 ST-ELDERTS,JZ,BMT,Queens,,,
77 ST,6,IRT,Manhattan,60 to 110,-73.9598739988604,40.7736200007461
77 ST,R,BMT,Brooklyn,,,
79 ST,1,IRT,Manhattan,60 to 110,-73.9799170005613,40.7839339995903
79 ST,D,BMT,Brooklyn,,,
8 AV,ACEL,BMT,Manhattan,14 to 42,-74.0025780010476,40.7397766663819
8 AV,N,BMT,Brooklyn,,,
8 AVE,ACEL,BMT,Manhattan,14 to 42,-74.0025780010476,40.7397766663819
8 AVE,N,BMT,Brooklyn,,,
8 ST-B'WAY NYU,NR,BMT,Manhattan,Canal to 14,-73.9925079984914,40.7304649985399
8 ST-NYU,NR,BMT,Manhattan,Canal to 14,-73.9925079984914,40.7304649985399
8 ST-NYU,NRW,BMT,Manhattan,Canal to 14,-73.9925079984914,40.7304649985399
80 ST,A,IND,Queens,,,
81 ST-MUSEUM,BC,IND,Manhattan,60 to 110,-73.9720979493720,40.7813460841820
82 ST-JACKSON H,7,IRT,Queens,,,
85 ST-FOREST PK,J,BMT,Queens,,,
86 ST,1,IRT,Manhattan,60 to 110,-73.9762179985932,40.7886440007389
86 ST,456,IRT,Manhattan,60 to 110,-73.9555889998513,40.7794919982095
86 ST,BC,IND,Manhattan,60 to 110,-73.9688284942967,40.7858230467855
86 ST,N,BMT,Brooklyn,,,
86 ST,R,BMT,Brooklyn,,,
86 ST-2 AVE,Q,IND,Manhattan,60 to 110,-73.9517709096491,40.7778610433316
88 ST,A,IND,Queens,,,
9 AV,D,BMT,Brooklyn,,,
9 AVE,D,BMT,Brooklyn,,,
9 ST,DFGMNR,BMT,Brooklyn,,,
90 ST-ELMHURST,7,IRT,Queens,,,
96 ST,123,IRT,Manhattan,60 to 110,-73.9723229991569,40.7939190012147
96 ST,6,IRT,Manhattan,60 to 110,-73.9510700015425,40.7856719999860
96 ST,BC,IND,Manhattan,60 to 110,-73.9646024568700,40.7916187976701
96 ST-2 AVE,Q,IND,Manhattan,60 to 110,-73.9470660219183,40.7842366501776
9TH STREET,1,PTH,Manhattan,Canal to 14,-73.9944487445120,40.6464840772663
ALABAMA AV,J,BMT,Brooklyn,,,
ALABAMA AVE,J,BMT,Brooklyn,,,
ALLERTON AV,25,IRT,Bronx,,,
ALLERTON AVE,25,IRT,Bronx,,,
AQUEDUCT N.COND,A,IND,Queens,,,
AQUEDUCT RACETR,A,IND,Queens,,,
AQUEDUCT TRACK,A,IND,Queens,,,
AQUEDUCT-N CNDT,A,IND,Queens,,,
ASTOR PL,6,IRT,Manhattan,Canal to 14,-73.9910699986196,40.7300540002897
ASTOR PLACE,6,IRT,Manhattan,Canal to 14,-73.9910699986196,40.7300540002897
ASTORIA BLVD,NQ,BMT,Queens,,,
ASTORIA BLVD,NQW,BMT,Queens,,,
ASTORIA DITMARS,NQ,BMT,Queens,,,
ASTORIA DITMARS,NQW,BMT,Queens,,,
ATL AV-BARCLAY,2345BDNQR,IRT,Brooklyn,,,
ATL AV-BARCLAY,BDNQR2345,BMT,Brooklyn,,,
ATL AV-BARCLAY,BDNQR2345,IRT,Brooklyn,,,
ATLANTIC AV,L,BMT,Brooklyn,,,
ATLANTIC AVE,L,BMT,Brooklyn,,,
AVE H,BQ,BMT,Brooklyn,,,
AVE I,F,IND,Brooklyn,,,
AVE J,BQ,BMT,Brooklyn,,,
AVE M,BQ,BMT,Brooklyn,,,
AVE N,F,IND,Brooklyn,,,
AVE P,F,IND,Brooklyn,,,
AVE U,BQ,BMT,Brooklyn,,,
AVE U,F,IND,Brooklyn,,,
AVE U,N,BMT,Brooklyn,,,
AVE X,F,IND,Brooklyn,,,
AVENUE H,BQ,BMT,Brooklyn,,,
AVENUE I,F,IND,Brooklyn,,,
AVENUE J,BQ,BMT,Brooklyn,,,
AVENUE M,BQ,BMT,Brooklyn,,,
AVENUE N,F,IND,Brooklyn,,,
AVENUE P,F,IND,Brooklyn,,,
AVENUE U,BQ,BMT,Brooklyn,,,
AVENUE U,F,IND,Brooklyn,,,
AVENUE U,N,BMT,Brooklyn,,,
AVENUE X,F,IND,Brooklyn,,,
B'WAY-LAFAYETTE,BDFQ6,IND,Manhattan,Canal to 14,-73.9962039987605,40.7252969987380
BARCLAYS CENTER,2345BDNQR,IRT,Brooklyn,,,
BARCLAYS CENTER,BDNQR2345,BMT,Brooklyn,,,
BARCLAYS CENTER,BDNQR2345,IRT,Brooklyn,,,
BAY 50 ST,D,BMT,Brooklyn,,,
BAY PARKWAY,D,BMT,Brooklyn,,,
BAY PKWY,D,BMT,Brooklyn,,,
BAY PKWY,F,IND,Brooklyn,,,
BAY PKWY,N,BMT,Brooklyn,,,
BAY PKY-22 AVE,N,BMT,Brooklyn,,,
BAY RIDGE AV,R,BMT,Brooklyn,,,
BAY RIDGE AVE,R,BMT,Brooklyn,,,
BAY RIDGE-95 ST,R,BMT,Brooklyn,,,
BAYCHESTER AV,5,IRT,Bronx,,,
BAYCHESTER AVE,5,IRT,Bronx,,,
BEACH 105 ST,AS,IND,Queens,,,
BEACH 25 ST,A,IND,Queens,,,
BEACH 36 ST,A,IND,Queens,,,
BEACH 44 ST,A,IND,Queens,,,
BEACH 60 ST,A,IND,Queens,,,
BEACH 67 ST,A,IND,Queens,,,
BEACH 90 ST,AS,IND,Queens,,,
BEACH 98 ST,AS,IND,Queens,,,
BEDFORD AV,L,BMT,Brooklyn,,,
BEDFORD AVE,L,BMT,Brooklyn,,,
BEDFORD PARK BL,4,IRT,Bronx,,,
BEDFORD PARK BL,BD,IND,Bronx,,,
BEDFORD PK BLVD,4,IRT,Bronx,,,
BEDFORD PK BLVD,BD,IND,Bronx,,,
BEDFORD-NOSTRAN,G,IND,Brooklyn,,,
BEDFORD/NOSTRAN,G,IND,Brooklyn,,,
BEEBE-39 AVE,NQ,BMT,Queens,,,
BERGEN ST,23,IRT,Brooklyn,,,
BERGEN ST,FG,IND,Brooklyn,,,
BEVERLEY ROAD,BQ,BMT,Brooklyn,,,
BEVERLY RD,25,IRT,Brooklyn,,,
BEVERLY ROAD,25,IRT,Brooklyn,,,
BLEECKER ST,6DF,IRT,Manhattan,Canal to 14,-73.9946590000633,40.7259146668265
BOROUGH HALL,2345R,IRT,Brooklyn,,,
BOROUGH HALL,R2345,BMT,Brooklyn,,,
BOROUGH HALL/CT,2345R,IRT,Brooklyn,,,
BOROUGH HALL/CT,R2345,BMT,Brooklyn,,,
BOTANIC GARDEN,S2345,BMT,Brooklyn,,,
BOWERY,JZ,BMT,Manhattan,Canal to 14,-73.9938069065423,40.7202468831472
BOWLING GREEN,45,IRT,Manhattan,Below Canal,-74.0140079980343,40.7049139992807
